web_scraper_order,name_0,Character_Nickname_0,Game_Appeared_In_0,Position_0,Element_0,Kick_Lv50_0,Control_Lv50_0,Intelligence_Lv50_0,Technique_Lv50_0,Pressure_Lv50_0,Physical_Lv50_0,Agility_Lv50_0,Gender_0,Character_Role_0,image_0
"1770571382-1897","Biggsy","Biggsy","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","GK","Forest","85","93","94","88","95","103","109","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/u/eu8d6cxduu8.png"
"1770571385-1898","Sor","Sor","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","DF","Wind","87","90","112","92","99","103","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/r/vrkcvyoakus.png"
"1770571387-1899","Goldie Lemmon","Goldie","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","DF","Fire","90","94","114","95","102","105","91","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/5/k579cnognde.png"
"1770571389-1900","Vladimir Blade","Vladimir","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","FW","Fire","121","115","93","105","88","85","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/w/xwnabrc2pos.png"
"1770571392-1901","Clark von Wunderbar","Wonderbot","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","FW","Wind","112","109","97","99","88","86","81","Unknown","Manager","https://dxi4wb638ujep.cloudfront.net/1/k/q/a/qajwzujoguc.png"
"1770571394-1902","Fei Rune","Fei","Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash","FW","Forest","114","112","100","102","91","88","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/f/3fu1s2p-6ic.png"
"1770571396-1903","Ton Nino","Nino","Inazuma Eleven GO: Light / Shadow","MF","Wind","101","109","97","107","88","89","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/j/yjceqobv95u.png"
"1770571398-1904","Everard Valiant","Everard","Inazuma Eleven GO: Light / Shadow","DF","Wind","87","90","112","92","99","103","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/v/gv29nyflros.png"
"1770571401-1905","Damon Valiant","Damon","Inazuma Eleven GO: Light / Shadow","FW","Fire","119","113","90","102","85","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/9/r9hcgnjx89e.png"
"1770571403-1906","Dirk Eisberg","Eisberg","Inazuma Eleven GO: Light / Shadow","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/v/fvixoujedos.png"
"1770571405-1907","Deliah Azel","Dazzle","Inazuma Eleven GO: Light / Shadow","MF","Fire","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/9/u952jrv-ube.png"
"1770571408-1908","Mickey Schmitt","Schmitt","Inazuma Eleven GO: Light / Shadow","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/x/axguscscjks.png"
"1770571410-1909","Bill Ingsgate","Ingsgate","Inazuma Eleven GO: Light / Shadow","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/_/r_3p_jkmkxe.png"
"1770571412-1910","Lawrence Leepson","Leepson","Inazuma Eleven GO: Light / Shadow","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/q/lqu6s-_ur30.png"
"1770571414-1911","Fletch Blitzen","Blitzen","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/6/4/64lbbbzu8ec.png"
"1770571417-1912","Esau Tariq","Esau","Inazuma Eleven GO: Light / Shadow","MF","Forest","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/2/h2rel7rda9k.png"
"1770571419-1913","Spot Barkley","Spot","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/c/zcug62shncm.png"
"1770571421-1914","Avery Rarecard","Rarecard","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/0/c0lnxj0bkxk.png"
"1770571424-1915","Corvus Cardson","Cardson","Inazuma Eleven GO: Light / Shadow","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/b/ibgseubt_ru.png"
"1770571426-1916","Shortcake Holmes","Holmes","Inazuma Eleven GO: Light / Shadow","DF","Mountain","82","87","119","85","102","107","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/e/pewtr6ykhre.png"
"1770571428-1917","Grandpa Danger","Danger","Inazuma Eleven GO: Light / Shadow","DF","Fire","84","87","119","85","104","107","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/2/y2by8f-wmis.png"
"1770571430-1918","Gazza Irons","Gazza","Inazuma Eleven GO: Light / Shadow","GK","Mountain","86","94","93","88","98","103","105","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/4/z/4zihvyl45cc.png"
"1770571433-1919","Rain Bowe","Rain","Inazuma Eleven GO: Light / Shadow","MF","Forest","101","109","97","107","88","89","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/e/2ea_me35tom.png"
"1770571435-1920","Adam Orable","Orable","Inazuma Eleven GO: Light / Shadow","MF","Wind","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/t/vt-5b_yt56k.png"
"1770571437-1921","Samson Bigglesworth","Biggles","Inazuma Eleven GO: Light / Shadow","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/f/efpy2aupujm.png"
"1770571440-1922","Theo Therr","Therr","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/v/qvwahnxlz2k.png"
"1770571442-1923","Gale Sweep","Sweep","Inazuma Eleven GO: Light / Shadow","DF","Wind","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/h/bhbhqyxxefm.png"
"1770571444-1924","Anne Sestral","Sestral","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/o/7oiu5ve5rl8.png"
"1770571446-1925","Maude Erne","Erne","Inazuma Eleven GO: Light / Shadow","FW","Forest","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/a/kat1uqidgwu.png"
"1770571449-1926","Faye Ted","Ted","Inazuma Eleven GO: Light / Shadow","MF","Mountain","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/h/ihup6jwvdqu.png"
"1770571451-1927","Cloudy Forbes","Forbes","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/j/5jlix2wvuj8.png"
"1770571453-1928","Nan Desuka","Desuka","Inazuma Eleven GO: Light / Shadow","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/m/zmg9erjdbdm.png"
"1770571456-1929","Fünf Whitely","5-White","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/o/oo3cpufn2wk.png"
"1770571458-1930","Vier Whitely","4-White","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/m/gmsrzvmuxce.png"
"1770571460-1931","Zwei Whitely","2-White","Inazuma Eleven GO: Light / Shadow","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/o/3odweqqu6vs.png"
"1770571462-1932","Eins Whitely","1-White","Inazuma Eleven GO: Light / Shadow","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/k/dkiovnp2dqe.png"
"1770571465-1933","Cinque Blackley","5-Black","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/m/ymtjcypmwjs.png"
"1770571467-1934","Quattro Blackley","4-Black","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/j/sjw8rf6efdc.png"
"1770571469-1935","Due Blackley","2-Black","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/l/jlbd86c-ow0.png"
"1770571472-1936","Uno Blackley","1-Black","Inazuma Eleven GO: Light / Shadow","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/q/hqgbsjost20.png"
"1770571474-1937","Shilo Placidus","Placidus","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/c/qc3g_cooafc.png"
"1770571476-1938","Rolanda Tempest","Roll","Inazuma Eleven GO: Light / Shadow","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/t/wtuvsbdg1ls.png"
"1770571478-1939","Ramona Tempest","Rumble","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/f/bfl0b-7aywe.png"
"1770571483-1940","Cash Tempest","Crash","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/a/paq_x1jzvzk.png"
"1770571485-1941","Maya O'Pier","O'Pier","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/o/yohe6kvjcam.png"
"1770571488-1942","Rundeep Stillwater","Stillwater","Inazuma Eleven GO: Light / Shadow","DF","Mountain","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/c/sceglhsbl_k.png"
"1770571490-1943","Evita Gowell","Goe","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/q/dqvnm4k7imm.png"
"1770571493-1944","Frank Redmond","Reddy","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/9/f/9fms1l_z9s8.png"
"1770571495-1945","Sloan Steddy","Steddy","Inazuma Eleven GO: Light / Shadow","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/t/mt9zyazjqfu.png"
"1770571497-1946","Breeze Windward","Flurry","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/m/om6v2dllvzu.png"
"1770571500-1947","Mitzi Holly","Mittens","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/k/_klob8tf4q8.png"
"1770571502-1948","Francie Holly","Francie","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/l/flo7ihyxnkm.png"
"1770571504-1949","Colin Urlane","Urlane","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/j/ujzale-tg5k.png"
"1770571506-1950","Mick Sologee","Sologee","Inazuma Eleven GO: Light / Shadow","DF","Wind","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/l/alcx_f3kbve.png"
"1770571509-1951","Len Grayves","Grayves","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/j/xjz2sgresms.png"
"1770571511-1952","Hugh Handy","Handy","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/j/fjmujts8lze.png"
"1770571513-1953","Humphrey Hedrass","Hedrass","Inazuma Eleven GO: Light / Shadow","MF","Mountain","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/0/h/0h9pos0gmqs.png"
"1770571516-1954","Trixie Playfair","Playfair","Inazuma Eleven GO: Light / Shadow","MF","Wind","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/o/uoe6dpbotkc.png"
"1770571518-1955","Pat Ryarke","Ryarke","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/m/lmvbwwn0-50.png"
"1770571520-1956","Sly Sundice","Sundice","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/h/nhohep1y7_0.png"
"1770571522-1957","Alma Verchu","Alma","Inazuma Eleven GO: Light / Shadow","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/v/wvzmzwtiwmc.png"
"1770571525-1958","Drew Pii","Pii","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/a/2a6tglmqjss.png"
"1770571527-1959","Burt Zerka","Zerka","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/o/holyn0aqofe.png"
"1770571529-1960","Askel Blays","Blays","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/t/s/tsear0eiw0m.png"
"1770571532-1961","Indy Iffrent","Iffrent","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/e/cevh8l4ydhk.png"
"1770571534-1962","Damo Jukes","DJ","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/u/ouq5ng7664m.png"
"1770571536-1963","Hartwin Throbb","Throbb","Inazuma Eleven GO: Light / Shadow","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/g/zghyg5daxlk.png"
"1770571538-1964","Downtworth Beyan","Worthy","Inazuma Eleven GO: Light / Shadow","MF","Fire","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/p/5pctzkoiiru.png"
"1770571541-1965","Art Izan","Izan","Inazuma Eleven GO: Light / Shadow","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/b/ibzmeboypy8.png"
"1770571543-1966","Noah Yu","Yu","Inazuma Eleven GO: Light / Shadow","DF","Forest","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/g/kg0qwcceke8.png"
"1770571545-1967","Mia Tior","Tior","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/i/7ifxd96kntu.png"
"1770571548-1968","Tsun Derrey","Derrey","Inazuma Eleven GO: Light / Shadow","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/n/bnmeogpssnk.png"
"1770571550-1969","Buzz O'Hare","O'Hare","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/p/qpxljfpw_-m.png"
"1770571552-1970","Griz Munkie","Munkie","Inazuma Eleven GO: Light / Shadow","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/n/enmo5egfess.png"
"1770571554-1971","Wyther Longfeys","Longfeys","Inazuma Eleven GO: Light / Shadow","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/p/1p9juhglzhe.png"
"1770571557-1972","Boo Fonte","Fonte","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/l/blcrlsfhues.png"
"1770571559-1973","Benji Near","Near","Inazuma Eleven GO: Light / Shadow","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/n/wnzwitj95te.png"
"1770571561-1974","Chief Kerr","Kerchief","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qiqfbow1mn0.png"
"1770571564-1975","Bonnie Sytree","Sytree","Inazuma Eleven GO: Light / Shadow","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/k/hkhk2xwph-c.png"
"1770571566-1976","Folda Steel","Steel","Inazuma Eleven GO: Light / Shadow","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/r/jrm4yoijk4c.png"
"1770571568-1977","Bianco Snowden","Snowden","Inazuma Eleven GO: Light / Shadow","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/d/sdxz1xezjl0.png"
"1770571570-1978","Byrd Stryke","Stryke","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/s/ys0smkxr8re.png"
"1770571573-1979","Ro St Nutts","St Nutts","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/e/defnl1xrrys.png"
"1770571575-1980","Rhys Eller","Eller","Inazuma Eleven GO: Light / Shadow","DF","Wind","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/s/nskgl89eune.png"
"1770571577-1981","Perpetua Naim","Petname","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/8/e/8e7nidbkd-s.png"
"1770571580-1982","Wick Bowler","Bowler","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/u/iue_5oygkbe.png"
"1770571582-1983","Gen Tallgiant","Tallgiant","Inazuma Eleven GO: Light / Shadow","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/g/5g1eux-8jys.png"
"1770571584-1984","Steph Scorer","Scorer","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpwrhsl08sc.png"
"1770571586-1985","Sylvester Tung","Tung","Inazuma Eleven GO: Light / Shadow","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/b/obnkqttorh0.png"
"1770571589-1986","Bertie Cees","Cees","Inazuma Eleven GO: Light / Shadow","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/g/qggwek_iun0.png"
"1770571591-1987","Donna Hooan","Donna","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/i/bir3p1zy5uc.png"
"1770571593-1988","Dave Dreem","Dreem","Inazuma Eleven GO: Light / Shadow","DF","Forest","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/n/7nyc6osqm0s.png"
"1770571596-1989","Carey Noakie","Noakie","Inazuma Eleven GO: Light / Shadow","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/p/kpdjxxkqhhe.png"
"1770571600-1990","Rick Whited","Whited","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/n/knyunwdjark.png"
"1770571603-1991","Greena Grasse","Grasse","Inazuma Eleven GO: Light / Shadow","GK","Wind","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpppgplztym.png"
"1770571605-1992","Sidney Cal","Cal","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/l/hlwxrkm7knk.png"
"1770571607-1993","Cole Bludd","Bludd","Inazuma Eleven GO: Light / Shadow","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/n/qnn28babnum.png"
"1770571609-1994","Luna Reid","Reid","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/i/wiedvg1js08.png"
"1770571612-1995","Gord Squash","Squash","Inazuma Eleven GO: Light / Shadow","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/k/bk1ic5tz_hu.png"
"1770571614-1996","Molly Gunn","Gunn","Inazuma Eleven GO: Light / Shadow","FW","Fire","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/r/dry-sgbf6bu.png"
"1770571616-1997","Dirk Point","Point","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/d/yddfbfnlxy8.png"
"1770571619-1998","Kik O'Round","O'Round","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/s/ssgqscstism.png"
"1770571621-1999","Humphrey Dictable","Dictable","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/e/jerl_90xphk.png"
"1770571623-2000","Turner Newleaf","Newleaf","Inazuma Eleven GO: Light / Shadow","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/6/f6hac4hdoyu.png"
"1770571625-2001","Singer Long","Long","Inazuma Eleven GO: Light / Shadow","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/s/us27xhhnjb8.png"
"1770571628-2002","Sammy Salter","Salter","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/4/a4jjakife-u.png"
"1770571630-2003","Jon Gleur","Gleur","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/q/rq4ct1e_pn8.png"
"1770571632-2004","Ryan Tamer","Tamer","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/_/l_b3-ox3ctm.png"
"1770571635-2005","Graham Bock","Bock","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/6/x/6xqwtxxnxek.png"
"1770571637-2006","Preston Digitate","Digitate","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/4/2/42tk9ofh0yk.png"
"1770571639-2007","Holly Blue","Butterfly","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/e/jecrqxjbzrm.png"
"1770571641-2008","Del Aket","Aket","Inazuma Eleven GO: Light / Shadow","DF","Mountain","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/x/px_edswtsl8.png"
"1770571644-2009","Virgil Ante","Ante","Inazuma Eleven GO: Light / Shadow","DF","Wind","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/z/yzo_utwpb4u.png"
"1770571646-2010","Mint Royle","Royle","Inazuma Eleven GO: Light / Shadow","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/x/2xvy0s5ggu0.png"
"1770571648-2011","Ash Cagger","Cagger","Inazuma Eleven GO: Light / Shadow","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/z/hzktztfannc.png"
"1770571651-2012","Harriet Pynn","Pynn","Inazuma Eleven GO: Light / Shadow","GK","Wind","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/z/zzblogc4qy0.png"
"1770571653-2013","Silvio Di Fence","Di Fence","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cbqqff6chrc.png"
"1770571655-2014","Strata Pudden","Pudden","Inazuma Eleven GO: Light / Shadow","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/0/i0jfwcpkyls.png"
"1770571657-2015","Lucius Lox","Lox","Inazuma Eleven GO: Light / Shadow","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/t/c/tc4-79pwf4e.png"
"1770571660-2016","Delia Sykes","Psyche","Inazuma Eleven GO: Light / Shadow","FW","Fire","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/9/r9_ivk7ca-e.png"
"1770571662-2017","Jack O'Nonne","O'Nonne","Inazuma Eleven GO: Light / Shadow","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/v/gvod4bdm3ns.png"
"1770571664-2018","Drew Serkell","Circle","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/6/a6t2rgouctc.png"
"1770571667-2019","Bonza Barnett","Barnett","Inazuma Eleven GO: Light / Shadow","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/s/xscxg5ouve0.png"
